"Team","FirstName","LastName","Nationality","DateOfBirth","Age","CountryOfBirth","PlaceOfBirth","Position","Height","Weight"
"Brazil","J<U+00FA>lio C<U+00E9>sar","Soares de Esp<U+00ED>ndola","Brazil",1979-09-03,34,"Brazil","Rio de Janeiro","Goalkeeper",186,79
"Brazil","Jefferson","de Oliviera Galv<U+00E3>o","Brazil",1983-01-02,31,"Brazil","S<U+00E3>o Vicente","Goalkeeper",188,80
"Brazil","Victor Leandro","Bagy","Brazil",1983-01-21,31,"Brazil","Santo Anast<U+00E1>cio","Goalkeeper",193,84
"Brazil","M<U+00E1>rcio Rafael","Ferreira de Souza","Brazil",1985-09-07,28,"Brazil","Londrina","Defender",172,68
"Brazil","Daniel","Alves da Silva","Brazil",1983-05-06,31,"Brazil","Juazeiro","Defender",173,64
"Brazil","Maxwell","Scherrer Cabelino Andrade","Brazil",1981-08-27,32,"Brazil","Cachoeiro de Itapermirim","Defender",176,73
"Brazil","Maicon Douglas","Sisenando","Brazil",1981-07-26,32,"Brazil","Novo Hamburgo","Defender",184,77
"Brazil","Thiago Emiliano","da Silva","Brazil",1984-09-22,29,"Brazil","Rio de Janeiro","Defender",183,79
"Brazil","David Luiz","Moreira Marinho","Brazil",1987-04-22,27,"Brazil","Diadema","Defender",185,73
"Brazil","Marcelo","Vieira da Silva J<U+00FA>nior","Brazil",1988-05-12,26,"Brazil","Rio de Janeiro","Defender",172,73
"Brazil","Henrique Adriano","Buss","Brazil",1986-10-14,27,"Brazil","Marechal C<U+00E2>ndido R<U+00F4>ndon","Defender",190,73
"Brazil","Dante Bonfim","da Costa Santos","Brazil",1983-10-18,30,"Brazil","Salvador","Defender",188,87
"Brazil","Willian","Borges Da Silva","Brazil",1988-08-09,25,"Brazil","Ribeir<U+00E3>o Pires","Midfielder",174,72
"Brazil","Anderson Hernanes","de Carvalho Andrade","Brazil",1985-05-29,29,"Brazil","Recife","Midfielder",180,76
"Brazil","Ramires","Santos do Nascimento","Brazil",1987-03-24,27,"Brazil","Barra do Pira<U+00ED>","Midfielder",179,65
"Brazil","Luiz Gustavo","Dias","Brazil",1987-07-23,26,"Brazil","Pindamonhangaba","Midfielder",187,80
"Brazil","Fernando Luiz","Rosa","Brazil",1985-05-04,29,"Brazil","Londrina","Midfielder",176,67
"Brazil","Jos<U+00E9> Paulo","Bezzera Maciel J<U+00FA>nior","Brazil",1988-07-25,25,"Brazil","S<U+00E3>o Paulo","Midfielder",182,71
"Brazil","Oscar","dos Santos Emboaba J<U+00FA>nior","Brazil",1991-09-09,22,"Brazil","Americana","Midfielder",179,66
"Brazil","Bernard ","An<U+00ED>cio Caldeira Duarte","Brazil",1992-09-08,21,"Brazil","Belo Horizonte","Midfielder",168,63
"Brazil","Frederico","Chaves Guedes","Brazil",1983-10-03,30,"Brazil","Te<U+00F3>filo Otoni","Attacker",185,84
"Brazil","Jo<U+00E3>o"," Alves de Assis Silva","Brazil",1987-03-20,27,"Brazil","S<U+00E3>o Paulo","Attacker",189,70
"Brazil","Givanildo","Vieira de Souza","Brazil",1986-07-25,27,"Brazil","Campina Grande","Attacker",180,76
"Brazil","Neymar","da Silva Santos Junior","Brazil",1992-02-05,22,"Brazil","Mogi das Cruzes","Attacker",174,60
"Croatia","Stipe","Pletikosa","Croatia",1979-01-08,35,"Croatia","Split","Goalkeeper",193,83
"Croatia","Danijel","Suba<U+0161>i<U+0107>","Croatia",1984-10-27,29,"Croatia","Zadar","Goalkeeper",191,85
"Croatia","Oliver","Zelenika","Croatia",1993-05-14,21,"Croatia",NA,"Goalkeeper",NA,NA
"Croatia","Darijo","Srna","Croatia",1982-05-01,32,"Croatia","Metkovic","Defender",182,78
"Croatia","Vedran","<U+0106>orluka","Croatia",1986-02-05,28,"Bosnia and Herzegovina","Derventa","Defender",191,80
"Croatia","Gordon","Schildenfeld","Croatia",1985-03-18,29,"Croatia","<U+0160>ibenik","Defender",191,91
"Croatia","Domagoj","Vida","Croatia",1989-04-29,25,"Croatia","Osijek","Defender",182,70
"Croatia","Ivan","Strini<U+0107>","Croatia",1987-07-17,26,"Croatia","Split","Defender",186,78
"Croatia","Dejan","Lovren","Croatia",1989-07-05,24,"Bosnia and Herzegovina","Zenica","Defender",188,84
"Croatia","<U+0160>ime","Vrsaljko","Croatia",1992-01-10,22,"Croatia","Zadar","Defender",180,75
"Croatia","Igor","Bubnji<U+0107>","Croatia",1992-07-17,21,"Croatia","Split","Defender",188,NA
"Croatia","Luka","Modri<U+0107>","Croatia",1985-09-09,28,"Croatia","Zadar","Midfielder",173,65
"Croatia","Danijel","Pranji<U+0107>","Croatia",1981-12-02,32,"Croatia","Nasice","Midfielder",170,70
"Croatia","Ivan","Rakiti<U+0107>","Croatia",1988-03-10,26,"Switzerland","Rheinfelden","Midfielder",184,80
"Croatia","Ivan","Peri<U+0161>i<U+0107>","Croatia",1989-02-02,25,"Croatia","Split","Midfielder",187,74
"Croatia","Jorge Sammir","Cruz Campos","Croatia",1987-04-23,27,"Brazil","Itabuna","Midfielder",178,77
"Croatia","Ognjen","Vukojevi<U+0107>","Croatia",1983-12-20,30,"Croatia","Bjelovar","Midfielder",184,76
"Croatia","Hrvoje","Mili<U+0107>","Croatia",1989-05-10,25,"Croatia","Osijek","Midfielder",183,74
"Croatia","Mate","Male<U+0161>","Croatia",1989-03-11,25,"Croatia","Sibenik","Midfielder",186,76
"Croatia","Marcelo","Brozovi<U+0107>","Croatia",1992-11-16,21,"Croatia",NA,"Midfielder",180,NA
"Croatia","Mateo","Kova<U+010D>i<U+0107>","Croatia",1994-05-06,20,"Austria","Linz","Midfielder",181,75
"Croatia","Ivan","Mo<U+010D>ini<U+0107>","Croatia",1993-04-30,21,"Croatia",NA,"Midfielder",NA,NA
"Croatia","Mario","Pa<U+0161>ali<U+0107>","Croatia",1995-02-09,19,"Croatia",NA,"Midfielder",NA,NA
"Croatia","Ivica","Oli<U+0107>","Croatia",1979-09-14,34,"Croatia","Davor","Attacker",182,85
"Croatia","Eduardo","Alves da Silva","Croatia",1983-02-25,31,"Brazil","Rio de Janeiro","Attacker",180,73
"Croatia","Nikica","Jelavi<U+0107>","Croatia",1985-08-27,28,"Bosnia and Herzegovina","Capljina","Attacker",188,88
"Croatia","Mario","Mand<U+017E>uki<U+0107>","Croatia",1986-05-21,28,"Croatia","Slavonski Brod","Attacker",187,84
"Croatia","Duje","<U+010C>op","Croatia",1990-02-01,24,"Croatia","Vinkovci","Attacker",184,73
"Croatia","Ante","Rebi<U+0107>","Croatia",1993-09-23,20,"Croatia","Split","Attacker",182,80
"Mexico","Alfredo","Talavera D<U+00ED>az","Mexico",1982-09-18,31,"Mexico","La Barca","Goalkeeper",188,82
"Mexico","Mois<U+00E9>s Alberto","Mu<U+00F1><U+00F3>z Rodr<U+00ED>guez","Mexico",1980-02-01,34,"Mexico","Aguililla","Goalkeeper",185,82
"Mexico","Jos<U+00E9> de Jes<U+00FA>s","Corona Rodr<U+00ED>guez","Mexico",1981-01-26,33,"Mexico","Guadalajara","Goalkeeper",184,84
"Mexico","Francisco Guillermo","Ochoa Maga<U+00F1>a","Mexico",1985-07-13,28,"Mexico","Guadalajara","Goalkeeper",185,78
"Mexico","Francisco Javier","Rodr<U+00ED>guez Pinedo","Mexico",1981-10-20,32,"Mexico","Mazatl<U+00E1>n","Defender",191,80
"Mexico","Rafael","M<U+00E1>rquez <U+00C1>lvarez","Mexico",1979-02-13,35,"Mexico","Zamora, Michoac<U+00E1>n.","Defender",185,83
"Mexico","Enrique","P<U+00E9>rez Herrera","Mexico",1988-10-13,25,"Mexico","Zinap<U+00E9>cuaro","Defender",168,67
"Mexico","Juan Carlos","Valenzuela Hern<U+00E1>ndez","Mexico",1984-05-15,30,"Mexico","Guaymas","Defender",179,74
"Mexico","Miguel Arturo","Lay<U+00FA>n Prado","Mexico",1988-06-25,25,"Mexico","C<U+00F3>rdoba","Defender",179,68
"Mexico","Paul Nicol<U+00E1>s","Aguilar Rojas","Mexico",1986-03-06,28,"Mexico","Concordia","Defender",177,65
